date,Instagram_spend,Google Search_spend,YouTube_spend,Influencer Networks_spend,E-commerce Marketplaces_spend,TikTok_spend,Programmatic Display_spend,total_conversions
2025-05-30,54967.14153011233,45987.79528114164,51958.452550976814,49192.83419891418,47909.76742713975,64109.3237974627,54258.87206193036,1760
2025-05-31,48617.35698828816,52240.92481810417,40216.27222384968,59163.276747024815,41494.795457907,57082.14423256557,50191.47777415752,1803
2025-06-01,56476.88538100693,50125.92400781795,54082.52755714472,53464.884758979926,44194.765501952774,52332.16131263501,43585.1309095569,1826
2025-06-02,65230.29856408025,50976.76098548832,32974.1639576216,59980.101098596526,55885.7840442061,59531.36633913245,54878.72284871074,1846
2025-06-03,47658.46625276664,42269.90216144534,60291.55637325643,21037.44621806311,66699.04504351407,52871.241652018245,68043.48109786744,1863
2025-06-04,47658.630430508194,50245.101742589424,54725.97482413043,70883.74704780728,53946.715298229814,43875.62625359562,48090.96208272701,1869
2025-06-05,65792.12815507391,54979.9829124545,52560.29734313876,48604.10371844826,38041.169379648156,53615.03525206102,57197.579421481816,1873
2025-06-06,57674.34729152909,64511.43607795042,59826.90983945514,61081.82816737516,54446.02668220141,38562.73792679339,37067.27042128836,1880
2025-06-07,45305.25614065048,59592.70826085207,66654.74444462577,39600.940728744696,61966.31486645651,51085.59705776523,40435.63623181991,1889
2025-06-08,55425.60043585965,71531.82457511556,60143.7006501813,56127.7390506257,43902.17095680618,49667.700093555395,54724.062778803775,1898
2025-06-09,45365.82307187538,42326.52437111951,31591.257686683548,39465.84436826344,48659.82833327082,47918.83142727461,64841.16028535965,1900
2025-06-10,45342.70246429743,58723.20636720678,37204.23033264298,43762.310393041946,50146.88194729197,48714.62488561069,53556.1334878566,1904
2025-06-11,52419.62271566034,51833.42005738352,43751.81422304321,69140.31353866786,42151.0168691776,31181.509545023608,46869.419694768454,1906
2025-06-12,30867.197553422022,71898.02933217672,50260.91050210834,48093.17599236654,56482.80433843859,44512.750922590385,49992.914054233544,1916
2025-06-13,32750.821674869672,41917.01714644849,55176.59020469123,52174.32873179723,48790.51851392219,50928.44901141115,37495.92266030282,1917
2025-06-14,44377.12470759027,41602.78157819224,42742.561868465345,58700.67730688754,54195.324439070275,51598.563919974,56045.15326355367,1929
2025-06-15,39871.68879665576,44006.073545559775,51867.66764477079,54956.818879726045,41125.078221979,39723.24859074042,58823.33062323409,1932
2025-06-16,53142.47332595274,28761.04275690193,42446.170676466776,51504.189051435766,45625.416996765896,62657.07840864701,45479.0966716692,1935
2025-06-17,40919.75924478789,44742.44978319239,43884.82197008052,53649.61002466225,57223.81357827771,41338.251517854995,45299.57852240498,1942
2025-06-18,35876.962986647086,42408.67338446302,35933.38903151778,74034.15585238276,46271.66847908233,59694.57200526737,52658.78229652048,1947
2025-06-19,64656.487689215544,51503.937864762076,40767.66753889096,49423.81202966414,67269.63851233406,54271.94361871685,45632.80263959405,1959
2025-06-20,47742.23699513464,53417.559757771596,36483.15394383666,52010.99046714968,46003.638143853976,43537.72690156197,49338.67385374178,1958
2025-06-21,50675.28204687924,68761.70839215886,40241.267470226674,60506.54396007612,52246.84725751886,67753.10892609513,70997.21789166515,1975
2025-06-22,35752.51813786543,59504.2383818605,60536.4179660784,61055.259329579836,59325.9083187309,38063.631682435196,47529.742992540036,1979
2025-06-23,44556.17275474817,44230.96344337597,40506.01111168057,61870.3030556038,35816.342670669685,59191.541736100015,46416.598479787775,1973
2025-06-24,51109.22589709866,41015.853286516416,76323.8206483739,56387.302220291844,32391.91188019224,60005.82318042978,43524.58194364841,1977
2025-06-25,38490.06422577697,54919.191715065055,54933.17900880889,38569.95087269516,34743.436854299056,43293.79790923355,57441.91971499937,1980
2025-06-26,53756.98018345672,36797.66792979358,51848.36123694874,66334.31532301096,62625.84103427182,63924.65300064329,48187.75826781897,1996
2025-06-27,43993.61310081195,68314.58765854353,41416.422198187865,38536.54606981312,44481.41854107553,47499.534854010475,43506.26961678574,1991
2025-06-28,47083.06250206723,61794.40120721287,57003.098794089914,53026.354652390335,75581.99285668253,52886.93629279857,63213.04032273012,2012
2025-06-29,43982.93387770603,45308.24347895295,44243.62173762226,42457.24149980642,44357.52401342611,52603.21838771221,64196.03004513637,2007
2025-06-30,68522.78184508938,32868.65470909122,51220.098146453616,49358.616534070075,51845.51303197037,48656.91258529452,43995.76434261295,2007
2025-07-01,49865.02775262066,63538.72374165413,75600.84538268794,53287.6241030348,65421.09952567876,58108.082731597824,31334.600486393836,2014
2025-07-02,39422.890710440995,48854.60154747382,49039.401002753504,53213.57215450273,70060.92888159123,57934.88720552213,60075.13689836922,2024
2025-07-03,58225.44912103189,62378.163119734614,61492.73326285676,54219.207542352844,70615.03576636397,32514.68026761819,43153.701742399964,2025
2025-07-04,37791.563500289776,34055.72341205633,42968.23574874113,66137.11269058647,62083.66230593142,63043.40242878153,57906.25599162769,2028
2025-07-05,52088.63595004755,44006.24977046227,49650.115095030385,54535.3430151398,60240.625258114625,33375.08011964326,30298.961822881643,2018
2025-07-06,30403.298761202244,50052.43699718183,67708.0063563551,47558.433647093516,55925.26949201183,60325.46204341657,58925.97338299309,2027
2025-07-07,36718.139511015695,50469.80593764742,43730.329422122326,59640.871682883575,57783.61076166638,61267.05136827583,37888.280707192185,2023
2025-07-08,51968.612358691236,45499.345285207564,68124.48557996929,61894.70488924641,44488.142836714665,39090.335697848015,57307.64119066524,2028
