user_id,persona,geo,conversion_status,conversion_timestamp,revenue_generated
user_0,Budget Parents,Tier-3 Cities,0,,0.0
user_1,Premium Fitness Users,International,0,,0.0
user_2,Budget Parents,Tier-2 Cities,0,,0.0
user_3,Impulse Buyers,Tier-1 Cities,0,,0.0
user_4,Gen-Z Trend Seekers,International,0,,0.0
user_5,Budget Parents,Tier-2 Cities,0,,0.0
user_6,Unknown,International,0,,0.0
user_7,Premium Fitness Users,Tier-1 Cities,0,,0.0
user_8,Budget Parents,Tier-3 Cities,0,,0.0
user_9,Unknown,International,0,,0.0
user_10,Gen-Z Trend Seekers,International,0,,0.0
user_11,Gen-Z Trend Seekers,International,0,,0.0
user_12,Budget Parents,Tier-1 Cities,0,,0.0
user_13,Gen-Z Trend Seekers,Tier-2 Cities,0,,0.0
user_14,Gen-Z Trend Seekers,Tier-3 Cities,0,,0.0
user_15,Premium Fitness Users,Tier-3 Cities,1,2023-07-07 15:14:10,6562.1
user_16,Impulse Buyers,Tier-2 Cities,0,,0.0
user_17,Premium Fitness Users,Tier-1 Cities,0,,0.0
user_18,Unknown,Tier-2 Cities,0,,0.0
user_19,Gen-Z Trend Seekers,Tier-3 Cities,0,,0.0
user_20,Gen-Z Trend Seekers,Tier-3 Cities,1,2023-07-24 18:44:53,3937.35
user_21,Budget Parents,Tier-2 Cities,0,,0.0
user_22,Budget Parents,International,0,,0.0
user_23,Gen-Z Trend Seekers,International,0,,0.0
user_24,Premium Fitness Users,Tier-2 Cities,0,,0.0
user_25,Budget Parents,International,0,,0.0
user_26,Gen-Z Trend Seekers,International,0,,0.0
user_27,Unknown,Tier-1 Cities,0,,0.0
user_28,Impulse Buyers,Tier-3 Cities,0,,0.0
user_29,Gen-Z Trend Seekers,Tier-2 Cities,0,,0.0
user_30,Impulse Buyers,Tier-2 Cities,1,2023-12-20 10:12:30,3412.65
user_31,Premium Fitness Users,Tier-2 Cities,0,,0.0
user_32,Impulse Buyers,Tier-1 Cities,0,,0.0
user_33,Impulse Buyers,Tier-1 Cities,0,,0.0
user_34,Impulse Buyers,Tier-2 Cities,0,,0.0
user_35,Unknown,Tier-3 Cities,0,,0.0
user_36,Gen-Z Trend Seekers,Tier-3 Cities,0,,0.0
user_37,Gen-Z Trend Seekers,Tier-2 Cities,1,2023-07-13 05:19:05,4174.95
user_38,Impulse Buyers,Tier-3 Cities,0,,0.0
user_39,Premium Fitness Users,International,0,,0.0
user_40,Premium Fitness Users,International,1,2023-08-21 23:09:57,8370.36
user_41,Impulse Buyers,International,0,,0.0
user_42,Unknown,Tier-1 Cities,0,,0.0
user_43,Unknown,International,0,,0.0
user_44,Gen-Z Trend Seekers,International,0,,0.0
user_45,Impulse Buyers,Tier-3 Cities,0,,0.0
user_46,Unknown,International,0,,0.0
user_47,Gen-Z Trend Seekers,International,0,,0.0
user_48,Gen-Z Trend Seekers,Tier-3 Cities,0,,0.0
user_49,Budget Parents,International,0,,0.0
user_50,Budget Parents,Tier-3 Cities,0,,0.0
user_51,Impulse Buyers,Tier-1 Cities,1,2023-04-04 06:44:32,1049.4
user_52,Budget Parents,Tier-2 Cities,0,,0.0
user_53,Unknown,Tier-2 Cities,0,,0.0
user_54,Impulse Buyers,Tier-1 Cities,0,,0.0
user_55,Premium Fitness Users,Tier-1 Cities,0,,0.0
user_56,Gen-Z Trend Seekers,Tier-3 Cities,0,,0.0
user_57,Budget Parents,Tier-1 Cities,0,,0.0
user_58,Unknown,Tier-3 Cities,0,,0.0
user_59,Premium Fitness Users,International,0,,0.0
user_60,Gen-Z Trend Seekers,Tier-2 Cities,1,2023-02-28 14:42:01,5302.09
user_61,Gen-Z Trend Seekers,Tier-2 Cities,0,,0.0
user_62,Premium Fitness Users,Tier-1 Cities,0,,0.0
user_63,Budget Parents,International,0,,0.0
user_64,Impulse Buyers,Tier-1 Cities,0,,0.0
user_65,Gen-Z Trend Seekers,Tier-1 Cities,1,2023-04-26 11:12:42,2726.42
user_66,Impulse Buyers,Tier-3 Cities,0,,0.0
user_67,Impulse Buyers,Tier-2 Cities,0,,0.0
user_68,Budget Parents,Tier-1 Cities,0,,0.0
user_69,Impulse Buyers,International,0,,0.0
user_70,Impulse Buyers,Tier-2 Cities,0,,0.0
user_71,Budget Parents,Tier-1 Cities,0,,0.0
user_72,Impulse Buyers,Tier-3 Cities,1,2023-12-08 04:29:52,3386.18
user_73,Impulse Buyers,International,1,2023-04-15 03:34:21,1625.24
user_74,Gen-Z Trend Seekers,Tier-1 Cities,0,,0.0
user_75,Gen-Z Trend Seekers,International,0,,0.0
user_76,Impulse Buyers,International,0,,0.0
user_77,Gen-Z Trend Seekers,Tier-1 Cities,0,,0.0
user_78,Gen-Z Trend Seekers,Tier-1 Cities,0,,0.0
user_79,Budget Parents,Tier-2 Cities,0,,0.0
user_80,Premium Fitness Users,Tier-3 Cities,0,,0.0
user_81,Gen-Z Trend Seekers,Tier-3 Cities,0,,0.0
user_82,Gen-Z Trend Seekers,Tier-3 Cities,0,,0.0
user_83,Budget Parents,Tier-3 Cities,0,,0.0
user_84,Impulse Buyers,Tier-2 Cities,0,,0.0
user_85,Budget Parents,Tier-2 Cities,0,,0.0
user_86,Budget Parents,Tier-2 Cities,0,,0.0
user_87,Budget Parents,Tier-1 Cities,0,,0.0
user_88,Budget Parents,Tier-3 Cities,0,,0.0
user_89,Premium Fitness Users,Tier-1 Cities,0,,0.0
user_90,Unknown,Tier-3 Cities,0,,0.0
user_91,Gen-Z Trend Seekers,International,0,,0.0
user_92,Impulse Buyers,Tier-2 Cities,0,,0.0
user_93,Gen-Z Trend Seekers,Tier-2 Cities,1,2023-05-20 06:31:25,5000.56
user_94,Impulse Buyers,Tier-3 Cities,0,,0.0
user_95,Impulse Buyers,Tier-1 Cities,0,,0.0
user_96,Unknown,International,0,,0.0
user_97,Gen-Z Trend Seekers,Tier-2 Cities,1,2023-10-21 06:32:47,4800.89
user_98,Impulse Buyers,Tier-2 Cities,0,,0.0
user_99,Gen-Z Trend Seekers,International,0,,0.0
user_100,Impulse Buyers,Tier-2 Cities,1,2023-11-04 21:06:50,3071.01
user_101,Gen-Z Trend Seekers,Tier-2 Cities,0,,0.0
user_102,Gen-Z Trend Seekers,International,0,,0.0
user_103,Impulse Buyers,Tier-2 Cities,0,,0.0
user_104,Impulse Buyers,International,1,2023-08-10 12:13:57,3341.49
user_105,Premium Fitness Users,Tier-1 Cities,0,,0.0
user_106,Unknown,Tier-1 Cities,0,,0.0
user_107,Premium Fitness Users,International,0,,0.0
user_108,Impulse Buyers,Tier-2 Cities,0,,0.0
user_109,Budget Parents,Tier-2 Cities,0,,0.0
user_110,Budget Parents,Tier-2 Cities,0,,0.0
user_111,Premium Fitness Users,Tier-2 Cities,0,,0.0
user_112,Impulse Buyers,Tier-3 Cities,0,,0.0
user_113,Impulse Buyers,Tier-3 Cities,0,,0.0
user_114,Gen-Z Trend Seekers,International,0,,0.0
user_115,Budget Parents,Tier-3 Cities,0,,0.0
user_116,Impulse Buyers,Tier-3 Cities,0,,0.0
user_117,Unknown,International,0,,0.0
user_118,Premium Fitness Users,International,0,,0.0
user_119,Premium Fitness Users,Tier-1 Cities,0,,0.0
user_120,Impulse Buyers,Tier-2 Cities,0,,0.0
user_121,Gen-Z Trend Seekers,Tier-2 Cities,0,,0.0
user_122,Impulse Buyers,Tier-2 Cities,0,,0.0
user_123,Gen-Z Trend Seekers,Tier-1 Cities,0,,0.0
user_124,Gen-Z Trend Seekers,Tier-1 Cities,0,,0.0
user_125,Gen-Z Trend Seekers,Tier-2 Cities,0,,0.0
user_126,Impulse Buyers,Tier-3 Cities,0,,0.0
user_127,Budget Parents,Tier-2 Cities,0,,0.0
user_128,Unknown,Tier-1 Cities,0,,0.0
user_129,Premium Fitness Users,International,1,2023-05-31 13:25:11,8310.77
user_130,Premium Fitness Users,International,0,,0.0
user_131,Gen-Z Trend Seekers,Tier-1 Cities,0,,0.0
user_132,Unknown,International,0,,0.0
user_133,Premium Fitness Users,Tier-2 Cities,0,,0.0
user_134,Gen-Z Trend Seekers,Tier-3 Cities,0,,0.0
user_135,Gen-Z Trend Seekers,Tier-2 Cities,0,,0.0
user_136,Premium Fitness Users,Tier-2 Cities,0,,0.0
user_137,Gen-Z Trend Seekers,Tier-3 Cities,0,,0.0
user_138,Impulse Buyers,Tier-1 Cities,0,,0.0
